tag,log10MGUT,log10MI,residual_pct,alphaGUT,tau
b3_-6.2_b2_-1.4_bbl_6.3_split_0.8_da_0.001_0.001_-0.001,15.480,11.113,0.10,0.0236,2.39e+33
b3_-6.2_b2_-1.4_bbl_6.3_split_0.8_da_0.000_-0.001_0.001,15.480,11.113,0.10,0.0236,2.39e+33
b3_-6.2_b2_-1.4_bbl_6.3_split_0.9_da_0.001_0.001_-0.001,15.480,11.113,0.10,0.0236,2.39e+33
b3_-6.2_b2_-1.4_bbl_6.3_split_0.9_da_0.000_-0.001_0.001,15.480,11.113,0.10,0.0236,2.39e+33
b3_-6.2_b2_-1.4_bbl_6.3_split_1.0_da_0.001_0.001_-0.001,15.480,11.113,0.10,0.0236,2.39e+33
b3_-6.2_b2_-1.4_bbl_6.3_split_1.0_da_0.000_-0.001_0.001,15.480,11.113,0.10,0.0236,2.39e+33
b3_-6.2_b2_-1.4_bbl_6.5_split_0.8_da_0.001_0.001_-0.001,15.467,11.038,0.11,0.0237,2.11e+33
b3_-6.2_b2_-1.4_bbl_6.5_split_0.8_da_0.000_-0.001_0.001,15.467,11.038,0.10,0.0237,2.11e+33
b3_-6.2_b2_-1.4_bbl_6.5_split_0.9_da_0.001_0.001_-0.001,15.467,11.038,0.11,0.0237,2.11e+33
b3_-6.2_b2_-1.4_bbl_6.5_split_0.9_da_0.000_-0.001_0.001,15.467,11.038,0.10,0.0237,2.11e+33
b3_-6.2_b2_-1.4_bbl_6.5_split_1.0_da_0.001_0.001_-0.001,15.467,11.038,0.11,0.0237,2.11e+33
b3_-6.2_b2_-1.4_bbl_6.5_split_1.0_da_0.000_-0.001_0.001,15.467,11.038,0.10,0.0237,2.11e+33
b3_-6.2_b2_-1.4_bbl_6.7_split_0.8_da_0.001_0.001_-0.001,15.453,10.962,0.11,0.0237,1.85e+33
b3_-6.2_b2_-1.4_bbl_6.7_split_0.8_da_0.000_-0.001_0.001,15.453,10.962,0.11,0.0237,1.85e+33
b3_-6.2_b2_-1.4_bbl_6.7_split_0.9_da_0.001_0.001_-0.001,15.453,10.962,0.11,0.0237,1.85e+33
b3_-6.2_b2_-1.4_bbl_6.7_split_0.9_da_0.000_-0.001_0.001,15.453,10.962,0.11,0.0237,1.85e+33
b3_-6.2_b2_-1.4_bbl_6.7_split_1.0_da_0.001_0.001_-0.001,15.453,10.962,0.11,0.0237,1.85e+33
b3_-6.2_b2_-1.4_bbl_6.7_split_1.0_da_0.000_-0.001_0.001,15.453,10.962,0.11,0.0237,1.85e+33
b3_-6.2_b2_-1.5_bbl_6.3_split_0.8_da_0.001_0.001_-0.001,15.555,11.000,0.11,0.0235,4.78e+33
b3_-6.2_b2_-1.5_bbl_6.3_split_0.8_da_0.000_-0.001_0.001,15.555,11.000,0.10,0.0235,4.78e+33
b3_-6.2_b2_-1.5_bbl_6.3_split_0.9_da_0.001_0.001_-0.001,15.555,11.000,0.11,0.0235,4.78e+33
b3_-6.2_b2_-1.5_bbl_6.3_split_0.9_da_0.000_-0.001_0.001,15.555,11.000,0.10,0.0235,4.78e+33
b3_-6.2_b2_-1.5_bbl_6.3_split_1.0_da_0.001_0.001_-0.001,15.555,11.000,0.11,0.0235,4.78e+33
b3_-6.2_b2_-1.5_bbl_6.3_split_1.0_da_0.000_-0.001_0.001,15.555,11.000,0.10,0.0235,4.78e+33
b3_-6.2_b2_-1.5_bbl_6.5_split_0.8_da_0.001_0.001_-0.001,15.542,10.925,0.10,0.0236,4.26e+33
b3_-6.2_b2_-1.5_bbl_6.5_split_0.8_da_0.000_-0.001_0.001,15.542,10.925,0.10,0.0236,4.26e+33
b3_-6.2_b2_-1.5_bbl_6.5_split_0.9_da_0.001_0.001_-0.001,15.542,10.925,0.10,0.0236,4.26e+33
b3_-6.2_b2_-1.5_bbl_6.5_split_0.9_da_0.000_-0.001_0.001,15.542,10.925,0.10,0.0236,4.26e+33
b3_-6.2_b2_-1.5_bbl_6.5_split_1.0_da_0.001_0.001_-0.001,15.542,10.925,0.10,0.0236,4.26e+33
b3_-6.2_b2_-1.5_bbl_6.5_split_1.0_da_0.000_-0.001_0.001,15.542,10.925,0.10,0.0236,4.26e+33
b3_-6.2_b2_-1.5_bbl_6.7_split_0.8_da_0.001_0.001_-0.001,15.530,10.849,0.09,0.0236,3.79e+33
b3_-6.2_b2_-1.5_bbl_6.7_split_0.8_da_0.000_-0.001_0.001,15.530,10.849,0.09,0.0236,3.79e+33
b3_-6.2_b2_-1.5_bbl_6.7_split_0.9_da_0.001_0.001_-0.001,15.530,10.849,0.09,0.0236,3.79e+33
b3_-6.2_b2_-1.5_bbl_6.7_split_0.9_da_0.000_-0.001_0.001,15.530,10.849,0.09,0.0236,3.79e+33
b3_-6.2_b2_-1.5_bbl_6.7_split_1.0_da_0.001_0.001_-0.001,15.530,10.849,0.09,0.0236,3.79e+33
b3_-6.2_b2_-1.5_bbl_6.7_split_1.0_da_0.000_-0.001_0.001,15.530,10.849,0.09,0.0236,3.79e+33
b3_-6.2_b2_-1.6_bbl_6.3_split_0.8_da_0.001_0.001_-0.001,15.643,10.925,0.09,0.0235,1.08e+34
b3_-6.2_b2_-1.6_bbl_6.3_split_0.8_da_0.000_-0.001_0.001,15.643,10.925,0.08,0.0235,1.08e+34
b3_-6.2_b2_-1.6_bbl_6.3_split_0.9_da_0.001_0.001_-0.001,15.643,10.925,0.09,0.0235,1.08e+34
b3_-6.2_b2_-1.6_bbl_6.3_split_0.9_da_0.000_-0.001_0.001,15.643,10.925,0.08,0.0235,1.08e+34
b3_-6.2_b2_-1.6_bbl_6.3_split_1.0_da_0.001_0.001_-0.001,15.643,10.925,0.09,0.0235,1.08e+34
b3_-6.2_b2_-1.6_bbl_6.3_split_1.0_da_0.000_-0.001_0.001,15.643,10.925,0.08,0.0235,1.08e+34
b3_-6.2_b2_-1.6_bbl_6.5_split_0.8_da_0.001_0.001_-0.001,15.632,10.849,0.10,0.0235,9.77e+33
